Tempo (s),Uso do CPU (%),Uso de RAM (%)
0,0.0,11.1
0.2,0.0,11.1
0.4,1.2,11.1
0.6000000000000001,0.0,11.1
0.8,0.0,11.1
1.0,0.6,11.1
1.2,0.0,11.1
1.4,0.0,11.1
1.5999999999999999,0.6,11.1
1.7999999999999998,1.9,11.1
1.9999999999999998,0.0,11.1
2.1999999999999997,1.2,11.1
2.4,0.0,11.1
2.6,0.0,11.1
2.8000000000000003,0.0,11.1
3.0000000000000004,0.0,11.1
3.2000000000000006,1.2,11.1
3.400000000000001,0.0,11.1
3.600000000000001,0.0,11.1
3.800000000000001,1.2,11.1
4.000000000000001,0.0,11.1
4.200000000000001,0.0,11.1
4.400000000000001,0.0,11.1
4.600000000000001,0.0,11.1
4.800000000000002,1.2,11.1
5.000000000000002,0.0,11.1
5.200000000000002,0.0,11.1
5.400000000000002,1.3,11.1
5.600000000000002,1.9,11.1
5.8000000000000025,0.0,11.1
6.000000000000003,0.0,11.1
6.200000000000003,0.6,11.1
6.400000000000003,0.0,11.1
6.600000000000003,0.6,11.1
6.800000000000003,0.0,11.1
7.0000000000000036,0.0,11.1
7.200000000000004,0.0,11.1
7.400000000000004,0.0,11.1
7.600000000000004,0.6,11.1
7.800000000000004,0.0,11.1
8.000000000000004,0.0,11.1
8.200000000000003,0.6,11.1
8.400000000000002,0.0,11.1
8.600000000000001,0.0,11.1
8.8,0.0,11.1
9.0,0.0,11.1
9.2,0.0,11.1
9.399999999999999,0.0,11.1
9.599999999999998,1.9,11.1
9.799999999999997,0.0,11.1
9.999999999999996,0.6,11.1
10.199999999999996,0.0,11.1
10.399999999999995,0.6,11.1
10.599999999999994,0.0,11.1
10.799999999999994,0.0,11.1
10.999999999999993,2.5,11.1
11.199999999999992,0.0,11.1
11.399999999999991,0.0,11.1
11.59999999999999,0.0,11.1
11.79999999999999,0.0,11.1
11.99999999999999,1.2,11.1
12.199999999999989,0.0,11.1
12.399999999999988,1.2,11.1
12.599999999999987,1.9,11.1
12.799999999999986,0.6,11.1
12.999999999999986,0.0,11.1
13.199999999999985,0.6,11.1
13.399999999999984,0.0,11.1
13.599999999999984,0.0,11.1
13.799999999999983,0.6,11.1
13.999999999999982,0.0,11.1
14.199999999999982,0.0,11.1
14.39999999999998,0.6,11.1
14.59999999999998,0.0,11.1
14.79999999999998,0.0,11.1
14.999999999999979,0.0,11.1
15.199999999999978,0.0,11.1
15.399999999999977,1.3,11.1
15.599999999999977,0.0,11.1
15.799999999999976,0.0,11.1
15.999999999999975,0.0,11.1
16.199999999999974,0.6,11.1
16.399999999999974,0.0,11.1
16.599999999999973,0.6,11.1
16.799999999999972,0.0,11.1
16.99999999999997,0.0,11.1
17.19999999999997,0.0,11.1
17.39999999999997,0.0,11.1
17.59999999999997,0.6,11.1
17.79999999999997,0.0,11.1
17.999999999999968,0.0,11.1
18.199999999999967,0.6,11.1
18.399999999999967,0.0,11.1
18.599999999999966,0.6,11.1
18.799999999999965,0.0,11.1
18.999999999999964,0.6,11.1
19.199999999999964,0.0,11.1
19.399999999999963,0.0,11.1
19.599999999999962,0.0,11.1
19.79999999999996,0.6,11.1
19.99999999999996,0.0,11.1
20.19999999999996,0.0,11.1
20.39999999999996,0.0,11.1
20.59999999999996,0.6,11.1
20.799999999999958,0.0,11.1
20.999999999999957,0.0,11.1
21.199999999999957,0.6,11.1
21.399999999999956,0.0,11.1
21.599999999999955,0.0,11.1
21.799999999999955,0.6,11.1
21.999999999999954,1.2,11.1
22.199999999999953,0.0,11.1
22.399999999999952,0.0,11.1
22.59999999999995,0.0,11.1
22.79999999999995,0.6,11.1
22.99999999999995,0.0,11.1
23.19999999999995,0.0,11.1
23.39999999999995,0.0,11.1
23.599999999999948,0.6,11.1
23.799999999999947,1.9,11.1
23.999999999999947,0.0,11.1
24.199999999999946,4.3,11.1
24.399999999999945,1.2,11.1
24.599999999999945,1.2,11.1
24.799999999999944,0.6,11.1
24.999999999999943,0.0,11.1
25.199999999999942,0.6,11.1
25.39999999999994,1.3,11.1
25.59999999999994,0.6,11.1
25.79999999999994,0.0,11.1
25.99999999999994,0.0,11.1
26.19999999999994,0.0,11.1
26.399999999999938,1.9,11.1
26.599999999999937,0.6,11.1
26.799999999999937,0.0,11.1
26.999999999999936,0.0,11.1
27.199999999999935,1.3,11.1
27.399999999999935,0.0,11.1
27.599999999999934,0.6,11.1
27.799999999999933,0.0,11.2
27.999999999999932,0.0,11.2
28.199999999999932,0.6,11.2
28.39999999999993,1.9,11.2
28.59999999999993,1.8,11.2
28.79999999999993,0.0,11.2
28.99999999999993,0.0,11.2
29.19999999999993,0.0,11.2
29.399999999999928,0.0,11.2
29.599999999999927,0.0,11.2
29.799999999999926,0.0,11.2
29.999999999999925,0.6,11.2
30.199999999999925,0.0,11.2
30.399999999999924,0.6,11.2
30.599999999999923,0.0,11.2
30.799999999999923,0.0,11.2
30.999999999999922,0.0,11.2
31.19999999999992,0.6,11.2
31.39999999999992,0.0,11.2
31.59999999999992,0.0,11.2
31.79999999999992,0.6,11.2
31.99999999999992,0.0,11.2
32.19999999999992,0.0,11.2
32.39999999999992,0.6,11.2
32.59999999999992,0.0,11.2
32.799999999999926,0.0,11.2
32.99999999999993,0.0,11.2
33.19999999999993,0.0,11.2
33.399999999999935,0.0,11.2
33.59999999999994,0.6,11.2
33.79999999999994,0.0,11.2
33.99999999999994,0.0,11.2
34.199999999999946,1.2,11.2
34.39999999999995,0.0,11.2
34.59999999999995,0.0,11.2
34.799999999999955,0.0,11.2
34.99999999999996,0.0,11.2
35.19999999999996,1.2,11.2
35.39999999999996,0.0,11.2
35.599999999999966,0.0,11.2
35.79999999999997,0.0,11.2
35.99999999999997,0.6,11.2
36.199999999999974,0.6,11.2
36.39999999999998,0.0,11.2
36.59999999999998,0.0,11.2
36.79999999999998,1.9,11.2
36.999999999999986,0.0,11.2
37.19999999999999,0.0,11.2
37.39999999999999,1.3,11.2
37.599999999999994,0.0,11.2
37.8,0.0,11.2
38.0,0.6,11.2
38.2,0.0,11.2
38.400000000000006,0.0,11.2
38.60000000000001,1.2,11.2
38.80000000000001,0.0,11.2
39.000000000000014,0.0,11.2
39.20000000000002,0.0,11.2
39.40000000000002,0.6,11.2
39.60000000000002,0.0,11.2
39.800000000000026,0.0,11.2
40.00000000000003,0.0,11.2
40.20000000000003,0.0,11.2
40.400000000000034,0.6,11.2
40.60000000000004,0.0,11.2
40.80000000000004,0.0,11.2
41.00000000000004,0.0,11.2
41.200000000000045,0.0,11.2
41.40000000000005,0.0,11.2
41.60000000000005,0.0,11.2
41.800000000000054,0.0,11.2
42.00000000000006,0.0,11.2
42.20000000000006,0.0,11.2
42.40000000000006,0.6,11.2
42.600000000000065,0.0,11.2
42.80000000000007,0.0,11.2
43.00000000000007,0.6,11.2
43.200000000000074,0.0,11.2
43.40000000000008,0.0,11.2
43.60000000000008,0.0,11.2
43.80000000000008,0.0,11.2
44.000000000000085,0.0,11.2
44.20000000000009,1.2,11.2
44.40000000000009,0.0,11.2
44.600000000000094,0.0,11.2
44.8000000000001,0.0,11.2
45.0000000000001,0.0,11.2
45.2000000000001,0.0,11.2
45.400000000000105,0.0,11.2
45.60000000000011,0.6,11.2
45.80000000000011,0.0,11.2
46.000000000000114,0.0,11.2
46.20000000000012,0.0,11.2
46.40000000000012,0.6,11.2
46.60000000000012,0.0,11.2
46.800000000000125,0.6,11.2
47.00000000000013,0.0,11.2
47.20000000000013,0.0,11.2
47.400000000000134,0.0,11.2
47.600000000000136,0.0,11.2
47.80000000000014,0.0,11.2
48.00000000000014,0.0,11.2
48.200000000000145,0.6,11.2
48.40000000000015,0.0,11.2
48.60000000000015,0.0,11.2
48.80000000000015,0.0,11.2
49.000000000000156,0.0,11.2
49.20000000000016,0.0,11.2
49.40000000000016,0.0,11.2
49.600000000000165,0.0,11.2
49.80000000000017,0.6,11.2
50.00000000000017,0.6,11.2
50.20000000000017,0.0,11.2
50.400000000000176,0.0,11.2
50.60000000000018,0.0,11.2
50.80000000000018,0.0,11.2
51.000000000000185,0.0,11.2
51.20000000000019,0.0,11.2
51.40000000000019,0.0,11.2
51.60000000000019,0.0,11.2
51.800000000000196,1.2,11.2
52.0000000000002,0.0,11.2
52.2000000000002,0.0,11.2
52.400000000000205,0.0,11.2
52.60000000000021,0.6,11.2
52.80000000000021,0.0,11.2
53.00000000000021,0.0,11.2
53.200000000000216,0.0,11.2
53.40000000000022,0.0,11.2
53.60000000000022,0.0,11.2
53.800000000000225,0.0,11.2
54.00000000000023,0.0,11.2
54.20000000000023,0.0,11.2
54.40000000000023,1.3,11.2
54.600000000000236,0.0,11.2
54.80000000000024,0.6,11.2
55.00000000000024,0.0,11.2
55.200000000000244,0.0,11.2
55.40000000000025,0.6,11.2
55.60000000000025,0.0,11.2
55.80000000000025,0.0,11.2
56.000000000000256,1.9,11.2
56.20000000000026,0.0,11.2
56.40000000000026,0.0,11.2
56.600000000000264,0.0,11.2
56.80000000000027,0.6,11.2
57.00000000000027,0.0,11.2
57.20000000000027,0.0,11.2
57.400000000000276,0.0,11.2
57.60000000000028,0.6,11.2
57.80000000000028,0.0,11.2
58.000000000000284,0.6,11.2
58.20000000000029,0.0,11.2
58.40000000000029,0.6,11.2
58.60000000000029,0.0,11.2
58.800000000000296,0.0,11.2
59.0000000000003,0.0,11.2
59.2000000000003,0.0,11.2
59.400000000000304,0.0,11.2
59.60000000000031,9.9,11.2
59.80000000000031,0.6,11.2
60.00000000000031,0.0,11.2
60.200000000000315,0.0,11.2
60.40000000000032,0.0,11.2
60.60000000000032,0.6,11.2
60.800000000000324,0.6,11.2
61.00000000000033,0.0,11.2
61.20000000000033,0.0,11.2
61.40000000000033,0.0,11.2
61.600000000000335,0.0,11.2
61.80000000000034,0.6,11.2
62.00000000000034,0.0,11.2
62.200000000000344,2.5,11.2
62.40000000000035,1.2,11.2
62.60000000000035,0.0,11.2
62.80000000000035,0.0,11.2
63.000000000000355,0.0,11.2
63.20000000000036,0.6,11.2
63.40000000000036,0.0,11.2
63.600000000000364,0.0,11.2
63.80000000000037,0.6,11.2
64.00000000000037,0.0,11.2
64.20000000000037,0.6,11.2
64.40000000000038,0.6,11.2
64.60000000000038,2.5,11.2
64.80000000000038,0.6,11.2
65.00000000000038,0.0,11.2
65.20000000000039,0.6,11.2
65.40000000000039,0.0,11.2
65.60000000000039,0.0,11.2
65.8000000000004,0.0,11.2
66.0000000000004,0.0,11.2
66.2000000000004,0.6,11.2
66.4000000000004,0.0,11.2
66.6000000000004,1.2,11.2
66.80000000000041,0.0,11.2
67.00000000000041,0.0,11.2
67.20000000000041,0.6,11.2
67.40000000000042,0.6,11.2
67.60000000000042,0.6,11.2
67.80000000000042,0.0,11.2
68.00000000000043,0.6,11.2
68.20000000000043,0.0,11.2
68.40000000000043,0.6,11.2
68.60000000000043,0.6,11.2
68.80000000000044,0.0,11.2
69.00000000000044,0.0,11.2
69.20000000000044,0.0,11.2
69.40000000000045,1.3,11.2
69.60000000000045,0.6,11.2
69.80000000000045,0.6,11.2
70.00000000000045,0.0,11.2
70.20000000000046,0.6,11.2
70.40000000000046,1.3,11.2
70.60000000000046,0.0,11.2
70.80000000000047,1.3,11.2
71.00000000000047,0.0,11.2
71.20000000000047,0.0,11.2
71.40000000000047,0.0,11.2
71.60000000000048,0.0,11.2
71.80000000000048,0.6,11.2
72.00000000000048,0.0,11.2
72.20000000000049,0.0,11.2
72.40000000000049,0.6,11.2
72.60000000000049,0.0,11.2
72.8000000000005,0.6,11.2
73.0000000000005,0.0,11.2
73.2000000000005,0.0,11.2
73.4000000000005,0.0,11.2
73.6000000000005,0.0,11.2
73.80000000000051,0.0,11.2
74.00000000000051,0.0,11.2
74.20000000000051,0.0,11.2
74.40000000000052,0.0,11.2
74.60000000000052,0.0,11.2
74.80000000000052,0.0,11.2
75.00000000000053,0.0,11.2
75.20000000000053,0.0,11.2
75.40000000000053,0.6,11.2
75.60000000000053,0.0,11.2
75.80000000000054,0.0,11.2
76.00000000000054,0.6,11.2
76.20000000000054,0.0,11.2
76.40000000000055,0.0,11.2
76.60000000000055,0.0,11.2
76.80000000000055,0.0,11.2
77.00000000000055,0.0,11.2
77.20000000000056,0.0,11.2
77.40000000000056,0.0,11.2
77.60000000000056,0.0,11.2
77.80000000000057,0.0,11.2
78.00000000000057,0.0,11.2
78.20000000000057,0.0,11.2
78.40000000000057,0.0,11.2
78.60000000000058,0.6,11.2
78.80000000000058,0.0,11.2
79.00000000000058,0.0,11.2
79.20000000000059,0.0,11.2
79.40000000000059,0.0,11.2
79.60000000000059,0.0,11.2
79.8000000000006,0.6,11.2
80.0000000000006,0.6,11.2
80.2000000000006,0.0,11.2
80.4000000000006,0.0,11.2
80.6000000000006,0.0,11.2
80.80000000000061,0.0,11.2
81.00000000000061,0.0,11.2
81.20000000000061,0.6,11.2
81.40000000000062,0.0,11.2
81.60000000000062,0.6,11.2
81.80000000000062,0.0,11.2
82.00000000000063,0.6,11.2
82.20000000000063,0.0,11.2
82.40000000000063,0.0,11.2
82.60000000000063,0.0,11.2
82.80000000000064,0.6,11.2
83.00000000000064,0.0,11.2
83.20000000000064,0.6,11.2
83.40000000000065,0.0,11.2
83.60000000000065,0.0,11.2
83.80000000000065,0.0,11.2
84.00000000000065,0.0,11.2
84.20000000000066,0.0,11.2
84.40000000000066,0.0,11.2
84.60000000000066,0.0,11.2
84.80000000000067,0.0,11.2
85.00000000000067,0.0,11.2
85.20000000000067,0.0,11.2
85.40000000000067,0.0,11.2
85.60000000000068,0.0,11.2
85.80000000000068,1.2,11.2
86.00000000000068,0.6,11.2
86.20000000000068,0.0,11.2
86.40000000000069,0.0,11.2
86.60000000000069,0.0,11.2
86.8000000000007,0.0,11.2
87.0000000000007,0.0,11.2
87.2000000000007,0.0,11.2
87.4000000000007,0.6,11.2
87.6000000000007,0.0,11.2
87.80000000000071,0.0,11.2
88.00000000000071,0.0,11.2
88.20000000000071,0.0,11.2
88.40000000000072,0.0,11.2
88.60000000000072,1.2,11.2
88.80000000000072,0.0,11.2
89.00000000000072,0.0,11.2
89.20000000000073,0.0,11.2
89.40000000000073,0.0,11.2
89.60000000000073,0.0,11.2
89.80000000000074,0.0,11.2
90.00000000000074,0.0,11.2
90.20000000000074,0.6,11.2
90.40000000000074,0.0,11.2
90.60000000000075,0.0,11.2
90.80000000000075,0.6,11.2
91.00000000000075,0.0,11.2
91.20000000000076,0.0,11.2
91.40000000000076,0.6,11.2
91.60000000000076,0.0,11.2
91.80000000000076,1.3,11.2
92.00000000000077,0.6,11.2
92.20000000000077,0.0,11.2
92.40000000000077,0.0,11.2
92.60000000000078,0.0,11.2
92.80000000000078,0.0,11.2
